,基金代码,基金简称,基金名称,基金类型,基金拼音
469,000652,BSYLLHPZHH,博时裕隆灵活配置混合,混合型,BOSHIYULONGLINGHUOPEIZHIHUNHE
470,000654,HSXRCYHH,华商新锐产业混合,混合型,HUASHANGXINRUICHANYEHUNHE
471,000655,XYWLZQ,鑫元稳利债券,债券型,XINYUANWENLIZHAIQUAN
472,000656,QHKYHS300ZS,前海开源沪深300指数,股票指数,QIANHAIKAIYUANHUSHEN300ZHISHU
473,000657,YHHQBHBA,银华活钱宝货币A,货币型,YINHUAHUOQIANBAOHUOBIA
474,000658,YHHQBHBB,银华活钱宝货币B,货币型,YINHUAHUOQIANBAOHUOBIB
475,000659,YHHQBHBC,银华活钱宝货币C,货币型,YINHUAHUOQIANBAOHUOBIC
476,000660,YHHQBHBD,银华活钱宝货币D,货币型,YINHUAHUOQIANBAOHUOBID
477,000661,YHHQBHBE,银华活钱宝货币E,货币型,YINHUAHUOQIANBAOHUOBIE
478,000662,YHHQBHBF,银华活钱宝货币F,货币型,YINHUAHUOQIANBAOHUOBIF
479,000663,GTRYMLZGHH,国投瑞银美丽中国混合,混合型,GUOTOURUIYINMEILIZHONGGUOHUNHE
480,000664,GLATYHHA,国联安通盈混合A,混合型,GUOLIANANTONGYINGHUNHEA
481,000665,BSXJSYHBB,博时现金收益货币B,货币型,BOSHIXIANJINSHOUYIHUOBIB
482,000667,GYJDSYHHFQA,工银绝对收益混合发起A,混合型,GONGYINJUEDUISHOUYIHUNHEFAQIA
483,000668,GSABZXZQA,国寿安保尊享债券A,债券型,GUOSHOUANBAOZUNXIANGZHAIQUANA
484,000669,GSABZXZQC,国寿安保尊享债券C,债券型,GUOSHOUANBAOZUNXIANGZHAIQUANC
485,000672,GYJDSYHHFQB,工银绝对收益混合发起B,混合型,GONGYINJUEDUISHOUYIHUNHEFAQIB
486,000673,RTSJTLZQLOFC,融通四季添利债券(LOF)C,债券型,RONGTONGSIJITIANLIZHAIQUANLOFC
487,000674,ZHZDZZQ,中海中短债债券,债券型,ZHONGHAIZHONGDUANZHAIZHAIQUAN
488,000677,GYXJHB,工银现金货币,货币型,GONGYINXIANJINHUOBI
489,000678,HBXJBHBE,华宝现金宝货币E,货币型,HUABAOXIANJINBAOHUOBIE
490,000679,ZSFLLHPZHHA,招商丰利灵活配置混合A,混合型,ZHAOSHANGFENGLILINGHUOPEIZHIHUNHEA
491,000681,XDAYHGJHBA,信达澳银慧管家货币A,货币型,XINDAAOYINHUIGUANJIAHUOBIA
492,000682,XDAYHGJHBC,信达澳银慧管家货币C,货币型,XINDAAOYINHUIGUANJIAHUOBIC
493,000683,XDAYHGJHBE,信达澳银慧管家货币E,货币型,XINDAAOYINHUIGUANJIAHUOBIE
494,000684,CSYLJKCYLHPZHH,长盛养老健康产业灵活配置混合,混合型,CHANGSHENGYANGLAOJIANKANGCHANYELINGHUOPEIZHIHUNHE
495,000686,JXJXBHBA,建信嘉薪宝货币A,货币型,JIANXINJIAXINBAOHUOBIA
496,000687,NFXJBHB,南方薪金宝货币,货币型,NANFANGXINJINBAOHUOBI
497,000688,JSCCYJJXGP,景顺长城研究精选股票,股票型,JINGSHUNCHANGCHENGYANJIUJINGXUANGUPIAO
498,000689,QHKYXJJHH,前海开源新经济混合,混合型,QIANHAIKAIYUANXINJINGJIHUNHE
499,000690,QHKYDHYHH,前海开源大海洋混合,混合型,QIANHAIKAIYUANDAHAIYANGHUNHE
500,000692,HTFSLZQC,汇添富双利债券C,债券型,HUITIANFUSHUANGLIZHAIQUANC
501,000693,JXXJTLHBA,建信现金添利货币A,货币型,JIANXINXIANJINTIANLIHUOBIA
502,000694,XYHLZQ,鑫元鸿利债券,债券型,XINYUANHONGLIZHAIQUAN
503,000696,HTFHBHYGP,汇添富环保行业股票,股票型,HUITIANFUHUANBAOHANGYEGUPIAO
504,000697,HTFYDHLGP,汇添富移动互联股票,股票型,HUITIANFUYIDONGHULIANGUPIAO
505,000698,BYKJ30HH,宝盈科技30混合,混合型,BAOYINGKEJI30HUNHE
506,000699,ZYXQBHB,中银薪钱包货币,货币型,ZHONGYINXINQIANBAOHUOBI
507,000700,TDHLHBB,泰达宏利货币B,货币型,TAIDAHONGLIHUOBIB
508,000701,JSCCJFHBA,景顺长城景丰货币A,货币型,JINGSHUNCHANGCHENGJINGFENGHUOBIA
