,基金代码,基金简称,基金名称,基金类型,基金拼音
1405,001829,BXRFZGZZ,北信瑞丰中国智造,混合型,BEIXINRUIFENGZHONGGUOZHIZAO
1406,001830,RTKJCZLHPZHH,融通跨界成长灵活配置混合,混合型,RONGTONGKUAJIECHENGZHANGLINGHUOPEIZHIHUNHE
1407,001831,RTKJCZLHPZHH,融通跨界成长灵活配置混合(后端),混合型,RONGTONGKUAJIECHENGZHANGLINGHUOPEIZHIHUNHE
1408,001832,YFDRHLHPZHH,易方达瑞恒灵活配置混合,混合型,YIFANGDARUIHENGLINGHUOPEIZHIHUNHE
1409,001834,CSZLXXCYHHC,长盛战略新兴产业混合C,混合型,CHANGSHENGZHANLUEXINXINGCHANYEHUNHEC
1410,001835,YFDRXLHPZHHI,易方达瑞祥灵活配置混合I,混合型,YIFANGDARUIXIANGLINGHUOPEIZHIHUNHEI
1411,001836,YFDRXLHPZHHE,易方达瑞祥灵活配置混合E,混合型,YIFANGDARUIXIANGLINGHUOPEIZHIHUNHEE
1412,001837,QHKYHGSLCJXHH,前海开源沪港深蓝筹精选混合,混合型,QIANHAIKAIYUANHUGANGSHENLANCHOUJINGXUANHUNHE
1413,001838,GTRYGJAQHH,国投瑞银国家安全混合,混合型,GUOTOURUIYINGUOJIAANQUANHUNHE
1414,001839,JTJXLHPZHH,九泰久兴灵活配置混合,混合型,JIUTAIJIUXINGLINGHUOPEIZHIHUNHE
1415,001842,JTRTJHBA,九泰日添金货币A,货币型,JIUTAIRITIANJINHUOBIA
1416,001843,JTRTJHBB,九泰日添金货币B,货币型,JIUTAIRITIANJINHUOBIB
1417,001844,JTJYHHC,九泰久益混合C,混合型,JIUTAIJIUYIHUNHEC
1418,001849,QHKYQSGS100QGP,前海开源强势共识100强股票,股票型,QIANHAIKAIYUANQIANGSHIGONGSHI100QIANGGUPIAO
1419,001850,GTAYLHPZHHA,国泰安益灵活配置混合A,混合型,GUOTAIANYILINGHUOPEIZHIHUNHEA
1420,001852,RTZGF1HLHPZHHAB,融通中国风1号灵活配置混合A/B,混合型,RONGTONGZHONGGUOFENG1HAOLINGHUOPEIZHIHUNHEAB
1421,001853,RTZGF1HLHPZHHAB,融通中国风1号灵活配置混合A/B(后端),混合型,RONGTONGZHONGGUOFENG1HAOLINGHUOPEIZHIHUNHEAB
1422,001856,YFDHBZTHH,易方达环保主题混合,混合型,YIFANGDAHUANBAOZHUTIHUNHE
1423,001857,YFDXDFWYHH,易方达现代服务业混合,混合型,YIFANGDAXIANDAIFUWUYEHUNHE
1424,001858,JXXLLHPZHH,建信鑫利灵活配置混合,混合型,JIANXINXINLILINGHUOPEIZHIHUNHE
1425,001859,DMZZ18GYKFZQA,大摩增值18个月开放债券A,定开债券,DAMOZENGZHI18GEYUEKAIFANGZHAIQUANA
1426,001860,DMZZ18GYKFZQC,大摩增值18个月开放债券C,定开债券,DAMOZENGZHI18GEYUEKAIFANGZHAIQUANC
1427,001861,FADJKRSHH,富安达健康人生混合,混合型,FUANDAJIANKANGRENSHENGHUNHE
1428,001862,DFHSYZQZQA,东方红收益增强债券A,债券型,DONGFANGHONGSHOUYIZENGQIANGZHAIQUANA
1429,001863,DFHSYZQZQC,东方红收益增强债券C,债券型,DONGFANGHONGSHOUYIZENGQIANGZHAIQUANC
1430,001864,ZHMLCSJHH,中海魅力长三角混合,混合型,ZHONGHAIMEILICHANGSANJIAOHUNHE
1431,001865,QHKYSJQDHHC,前海开源事件驱动混合C,混合型,QIANHAIKAIYUANSHIJIANQUDONGHUNHEC
1432,001866,BXRFXCZ,北信瑞丰新成长,混合型,BEIXINRUIFENGXINCHENGZHANG
1433,001867,NAJXBHBD,诺安聚鑫宝货币D,货币型,NUOANJUXINBAOHUOBID
1434,001868,ZSCYZQC,招商产业债券C,债券型,ZHAOSHANGCHANYEZHAIQUANC
1435,001869,ZSZZYHHA,招商制造业混合A,混合型,ZHAOSHANGZHIZAOYEHUNHEA
1436,001870,QHKYHBA,前海开源货币A,货币型,QIANHAIKAIYUANHUOBIA
1437,001871,QHKYHBB,前海开源货币B,货币型,QIANHAIKAIYUANHUOBIB
1438,001874,QHKYHGSJZJXHH,前海开源沪港深价值精选混合,混合型,QIANHAIKAIYUANHUGANGSHENJIAZHIJINGXUANHUNHE
1439,001875,QHKYHGSYSJXHH,前海开源沪港深优势精选混合,混合型,QIANHAIKAIYUANHUGANGSHENYOUSHIJINGXUANHUNHE
1440,001876,PHQQGSYZMYXH,鹏华全球高收益债美元现汇,QDII,PENGHUAQUANQIUGAOSHOUYIZHAIMEIYUANXIANHUI
1441,001877,BYGJAQHGSGP,宝盈国家安全沪港深股票,股票型,BAOYINGGUOJIAANQUANHUGANGSHENGUPIAO
1442,001878,JSHGSJXGP,嘉实沪港深精选股票,股票型,JIASHIHUGANGSHENJINGXUANGUPIAO
1443,001879,CCCYBZSZQA,长城创业板指数增强A,股票指数,CHANGCHENGCHUANGYEBANZHISHUZENGQIANGA
1444,001880,CCZGZZLHPZHHA,长城中国智造灵活配置混合A,混合型,CHANGCHENGZHONGGUOZHIZAOLINGHUOPEIZHIHUNHEA
1445,001881,ZOXQSHHE,中欧新趋势混合E,混合型,ZHONGOUXINQUSHIHUNHEE
1446,001882,ZOJZFXHHE,中欧价值发现混合E,混合型,ZHONGOUJIAZHIFAXIANHUNHEE
1447,001883,ZOXDLHHLOFE,中欧新动力混合(LOF)E,混合型,ZHONGOUXINDONGLIHUNHELOFE
1448,001884,ZOHTJXHHE,中欧互通精选混合E,混合型,ZHONGOUHUTONGJINGXUANHUNHEE
1449,001885,ZOXLCHHE,中欧新蓝筹混合E,混合型,ZHONGOUXINLANCHOUHUNHEE
1450,001886,ZOHYCZHHLOFE,中欧行业成长混合(LOF)E,混合型,ZHONGOUHANGYECHENGZHANGHUNHELOFE
1451,001887,ZOJZZXHHE,中欧价值智选混合E,混合型,ZHONGOUJIAZHIZHIXUANHUNHEE
1452,001888,ZOSSCZHHLOFE,中欧盛世成长混合(LOF)E,混合型,ZHONGOUSHENGSHICHENGZHANGHUNHELOFE
1453,001889,ZOZQHBZQLOFE,中欧增强回报债券(LOF)E,债券型,ZHONGOUZENGQIANGHUIBAOZHAIQUANLOFE
1454,001890,ZOJXDQKFHHE,中欧精选定期开放混合E,混合型,ZHONGOUJINGXUANDINGQIKAIFANGHUNHEE
1455,001891,ZOCZYXHHE,中欧成长优选混合E,混合型,ZHONGOUCHENGZHANGYOUXUANHUNHEE
1456,001892,CSXXCZHH,长盛新兴成长混合,混合型,CHANGSHENGXINXINGCHENGZHANGHUNHE
1457,001893,HBXJTYB,华宝现金添益B,货币型,HUABAOXIANJINTIANYIB
1458,001894,TDHLHQYHBA,泰达宏利活期友货币A,货币型,TAIDAHONGLIHUOQIYOUHUOBIA
1459,001895,TDHLHQYHBB,泰达宏利活期友货币B,货币型,TAIDAHONGLIHUOQIYOUHUOBIB
1460,001897,JTJSLHXFHHA,九泰久盛量化先锋混合A,混合型,JIUTAIJIUSHENGLIANGHUAXIANFENGHUNHEA
1461,001898,YFDDJKHH,易方达大健康混合,混合型,YIFANGDADAJIANKANGHUNHE
1462,001899,DHSHAQ,东海社会安全,股票指数,DONGHAISHEHUIANQUAN
1463,001900,NAJXJZHH,诺安精选价值混合,混合型,NUOANJINGXUANJIAZHIHUNHE
1464,001901,QHKYHGSLXHHA,前海开源沪港深隆鑫混合A,混合型,QIANHAIKAIYUANHUGANGSHENLONGXINHUNHEA
1465,001902,QHKYHGSLXHHC,前海开源沪港深隆鑫混合C,混合型,QIANHAIKAIYUANHUGANGSHENLONGXINHUNHEC
1466,001903,GDXXHHA,光大欣鑫混合A,混合型,GUANGDAXINXINHUNHEA
1467,001904,GDXXHHC,光大欣鑫混合C,混合型,GUANGDAXINXINHUNHEC
1468,001905,HAAYLHPZHH,华安安益灵活配置混合,混合型,HUAANANYILINGHUOPEIZHIHUNHE
1469,001906,DFH6GYDKZ,东方红6个月定开债,定开债券,DONGFANGHONG6GEYUEDINGKAIZHAI
1470,001907,GTRYJXLHPZHHA,国投瑞银境煊灵活配置混合A,混合型,GUOTOURUIYINJINGXUANLINGHUOPEIZHIHUNHEA
1471,001908,GTRYJXLHPZHHC,国投瑞银境煊灵活配置混合C,混合型,GUOTOURUIYINJINGXUANLINGHUOPEIZHIHUNHEC
1472,001909,CJHXHBA,创金合信货币A,货币型,CHUANGJINHEXINHUOBIA
1473,001910,TKXJYHH,泰康新机遇混合,混合型,TAIKANGXINJIYUHUNHE
1474,001911,BSYHCZZQ,博时裕恒纯债债券,债券型,BOSHIYUHENGCHUNZHAIZHAIQUAN
1475,001914,ZXJTJLHHA,中信建投聚利混合A,混合型,ZHONGXINJIANTOUJULIHUNHEA
1476,001915,BYYLJKHGSGP,宝盈医疗健康沪港深股票,股票型,BAOYINGYILIAOJIANKANGHUGANGSHENGUPIAO
1477,001916,XWTBA,新沃通宝A,货币型,XINWOTONGBAOA
1478,001917,ZSLHJXGPA,招商量化精选股票A,股票型,ZHAOSHANGLIANGHUAJINGXUANGUPIAOA
1479,001918,YXYFXLA,圆信永丰兴利A,债券型,YUANXINYONGFENGXINGLIA
1480,001919,YXYFXLC,圆信永丰兴利C,债券型,YUANXINYONGFENGXINGLIC
1481,001920,JSCCJYHLZQA,景顺长城景颐宏利债券A,债券型,JINGSHUNCHANGCHENGJINGYIHONGLIZHAIQUANA
1482,001921,JSCCJYHLZQC,景顺长城景颐宏利债券C,债券型,JINGSHUNCHANGCHENGJINGYIHONGLIZHAIQUANC
1483,001922,GTDCLSYHH,国泰多策略收益混合,混合型,GUOTAIDUOCELUESHOUYIHUNHE
1484,001924,HXGQGGHH,华夏国企改革混合,混合型,HUAXIAGUOQIGAIGEHUNHE
1485,001925,XYXTYHBA,兴业鑫天盈货币A,货币型,XINGYEXINTIANYINGHUOBIA
1486,001926,XYXTYHBB,兴业鑫天盈货币B,货币型,XINGYEXINTIANYINGHUOBIB
1487,001927,HXXFSJLHPZHHA,华夏消费升级灵活配置混合A,混合型,HUAXIAXIAOFEISHENGJILINGHUOPEIZHIHUNHEA
1488,001928,HXXFSJLHPZHHC,华夏消费升级灵活配置混合C,混合型,HUAXIAXIAOFEISHENGJILINGHUOPEIZHIHUNHEC
1489,001929,HXSYBHBA,华夏收益宝货币A,货币型,HUAXIASHOUYIBAOHUOBIA
1490,001930,HXSYBHBB,华夏收益宝货币B,货币型,HUAXIASHOUYIBAOHUOBIB
1491,001931,GSABXQBHBA,国寿安保鑫钱包货币A,货币型,GUOSHOUANBAOXINQIANBAOHUOBIA
1492,001932,GSABLHYXHH,国寿安保灵活优选混合,混合型,GUOSHOUANBAOLINGHUOYOUXUANHUNHE
1493,001933,HSXXHLHH,华商新兴活力混合,混合型,HUASHANGXINXINGHUOLIHUNHE
1494,001937,XYXJZLHB,兴银现金增利货币,货币型,XINGYINXIANJINZENGLIHUOBI
1495,001938,ZOSDXFGPA,中欧时代先锋股票A,股票型,ZHONGOUSHIDAIXIANFENGGUPIAOA
1496,001939,GDRXHHA,光大睿鑫混合A,混合型,GUANGDARUIXINHUNHEA
1497,001940,NYXDNYJ,农银现代农业加,混合型,NONGYINXIANDAINONGYEJIA
1498,001941,RTTYDRZQB,融通通源短融债券B,债券型,RONGTONGTONGYUANDUANRONGZHAIQUANB
1499,001942,QHKYHGSHXHHA,前海开源沪港深汇鑫混合A,混合型,QIANHAIKAIYUANHUGANGSHENHUIXINHUNHEA
1500,001943,QHKYHGSHXHHC,前海开源沪港深汇鑫混合C,混合型,QIANHAIKAIYUANHUGANGSHENHUIXINHUNHEC
1501,001945,DFHXYZZQA,东方红信用债债券A,债券型,DONGFANGHONGXINYONGZHAIZHAIQUANA
1502,001946,DFHXYZZQC,东方红信用债债券C,债券型,DONGFANGHONGXINYONGZHAIZHAIQUANC
1503,001947,STMGAXHBA,上投摩根安鑫回报A,混合型,SHANGTOUMOGENANXINHUIBAOA
1504,001948,JXWDFLZQA,建信稳定丰利债券A,债券型,JIANXINWENDINGFENGLIZHAIQUANA
1505,001949,JXWDFLZQC,建信稳定丰利债券C,债券型,JIANXINWENDINGFENGLIZHAIQUANC
1506,001950,PHFTDKZB,鹏华丰泰定开债B,定开债券,PENGHUAFENGTAIDINGKAIZHAIB
1507,001951,JYGGHLHH,金鹰改革红利混合,混合型,JINYINGGAIGEHONGLIHUNHE
1508,001955,ZOYLCYHH,中欧养老产业混合,混合型,ZHONGOUYANGLAOCHANYEHUNHE
1509,001956,GLAKJDL,国联安科技动力,股票型,GUOLIANANKEJIDONGLI
1510,001957,JHPTZQA,嘉合磐通债券A,债券型,JIAHEPANTONGZHAIQUANA
1511,001958,JHPTZQC,嘉合磐通债券C,债券型,JIAHEPANTONGZHAIQUANC
1512,001959,HSLXHLLHPZHH,华商乐享互联灵活配置混合,混合型,HUASHANGLEXIANGHULIANLINGHUOPEIZHIHUNHE
1513,001960,XYRY,兴银瑞益,债券型,XINGYINRUIYI
1514,001961,BSYRCZZQ,博时裕荣纯债债券,债券型,BOSHIYURONGCHUNZHAIZHAIQUAN
1515,001963,ZOTXZQ,中欧天禧债券,债券型,ZHONGOUTIANXIZHAIQUAN
1516,001964,NATXYNDKZC,诺安泰鑫一年定开债C,定开债券,NUOANTAIXINYINIANDINGKAIZHAIC
1517,001965,YXYFXYLHPZHHA,圆信永丰兴源灵活配置混合A,混合型,YUANXINYONGFENGXINGYUANLINGHUOPEIZHIHUNHEA
1518,001966,YXYFXYLHPZHHC,圆信永丰兴源灵活配置混合C,混合型,YUANXINYONGFENGXINGYUANLINGHUOPEIZHIHUNHEC
1519,001967,HBZXSJHH,华宝转型升级混合,混合型,HUABAOZHUANXINGSHENGJIHUNHE
1520,001968,GDZYBNDKZA,光大尊盈半年定开债A,定开债券,GUANGDAZUNYINGBANNIANDINGKAIZHAIA
1521,001969,GDZYBNDKZC,光大尊盈半年定开债C,定开债券,GUANGDAZUNYINGBANNIANDINGKAIZHAIC
1522,001970,TXXXLHPZHHA,泰信鑫选灵活配置混合A,混合型,TAIXINXINXUANLINGHUOPEIZHIHUNHEA
1523,001972,QHKYHGSZHSHHH,前海开源沪港深智慧生活混合,混合型,QIANHAIKAIYUANHUGANGSHENZHIHUISHENGHUOHUNHE
1524,001973,GDYQBHBA,光大耀钱包货币A,货币型,GUANGDAYAOQIANBAOHUOBIA
1525,001974,JSCCLHXDLGP,景顺长城量化新动力股票,股票型,JINGSHUNCHANGCHENGLIANGHUAXINDONGLIGUPIAO
1526,001975,JSCCHBYSGP,景顺长城环保优势股票,股票型,JINGSHUNCHANGCHENGHUANBAOYOUSHIGUPIAO
1527,001976,HFTYNDKZC,海富通一年定开债C,定开债券,HAIFUTONGYINIANDINGKAIZHAIC
1528,001978,TXHLWHH,泰信互联网+混合,混合型,TAIXINHULIANWANGHUNHE
1529,001979,NFHGSJZ,南方沪港深价值,混合型,NANFANGHUGANGSHENJIAZHI
1530,001980,ZOLHQDHH,中欧量化驱动混合,混合型,ZHONGOULIANGHUAQUDONGHUNHE
1531,001981,FGSYBJYXHBA,富国收益宝交易型货币A,货币型,FUGUOSHOUYIBAOJIAOYIXINGHUOBIA
1532,001982,FGSYBJYXHBB,富国收益宝交易型货币B,货币型,FUGUOSHOUYIBAOJIAOYIXINGHUOBIB
1533,001983,ZYDTPZHH,中邮低碳配置混合,混合型,ZHONGYOUDITANPEIZHIHUNHE
1534,001984,STMGZGSWYYQDII,上投摩根中国生物医药(QDII),QDII,SHANGTOUMOGENZHONGGUOSHENGWUYIYAOQDII
1535,001985,FGDTXJJHHA,富国低碳新经济混合A,混合型,FUGUODITANXINJINGJIHUNHEA
1536,001986,QHKYRGZNZTHH,前海开源人工智能主题混合,混合型,QIANHAIKAIYUANRENGONGZHINENGZHUTIHUNHE
1537,001987,DFJYBHB,东方金元宝货币,货币型,DONGFANGJINYUANBAOHUOBI
1538,001988,NFCYA,南方纯元A,债券型,NANFANGCHUNYUANA
1539,001989,NFCYC,南方纯元C,债券型,NANFANGCHUNYUANC
1540,001990,ZOSJWJHHA,中欧数据挖掘混合A,混合型,ZHONGOUSHUJUWAJUEHUNHEA
1541,001991,NYTTLHBA,农银天天利货币A,货币型,NONGYINTIANTIANLIHUOBIA
1542,001992,NYTTLHBB,农银天天利货币B,货币型,NONGYINTIANTIANLIHUOBIB
1543,001993,BSYTCZZQ,博时裕泰纯债债券,债券型,BOSHIYUTAICHUNZHAIZHAIQUAN
1544,001994,HANNHZQC,华安年年红债券C,定开债券,HUAANNIANNIANHONGZHAIQUANC
1545,001997,GYXQSLHPZHHC,工银新趋势灵活配置混合C,混合型,GONGYINXINQUSHILINGHUOPEIZHIHUNHEC
1546,001998,GYXJDHHC,工银新焦点混合C,混合型,GONGYINXINJIAODIANHUNHEC
1547,002000,GYXSLHH,工银新生利混合,混合型,GONGYINXINSHENGLIHUNHE
1548,002001,HXHBHHA,华夏回报混合A,混合型,HUAXIAHUIBAOHUNHEA
1549,002002,HXHBHHA,华夏回报混合A(后端),混合型,HUAXIAHUIBAOHUNHEA
1550,002003,GYXJYLHPZHHA,工银新机遇灵活配置混合A,混合型,GONGYINXINJIYULINGHUOPEIZHIHUNHEA
1551,002004,GYXJYLHPZHHC,工银新机遇灵活配置混合C,混合型,GONGYINXINJIYULINGHUOPEIZHIHUNHEC
1552,002005,GYXDLHH,工银新得利混合,混合型,GONGYINXINDELIHUNHE
1553,002006,GYXDYHH,工银新得益混合,混合型,GONGYINXINDEYIHUNHE
1554,002009,ZOJTLHPZHHA,中欧瑾通灵活配置混合A,混合型,ZHONGOUJINTONGLINGHUOPEIZHIHUNHEA
1555,002010,ZOJTLHPZHHC,中欧瑾通灵活配置混合C,混合型,ZHONGOUJINTONGLINGHUOPEIZHIHUNHEC
1556,002011,HXHLHH,华夏红利混合,混合型,HUAXIAHONGLIHUNHE
1557,002012,HXHLHH,华夏红利混合(后端),混合型,HUAXIAHONGLIHUNHE
1558,002015,NFRGA,南方荣光A,混合型,NANFANGRONGGUANGA
1559,002016,NFRGC,南方荣光C,混合型,NANFANGRONGGUANGC
1560,002017,ZSRFLHPZHHFQSC,招商瑞丰灵活配置混合发起式C,混合型,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIC
1561,002018,PHHAHHA,鹏华弘安混合A,混合型,PENGHUAHONGANHUNHEA
1562,002019,PHHAHHC,鹏华弘安混合C,混合型,PENGHUAHONGANHUNHEC
1563,002020,GDCXQD,国都创新驱动,混合型,GUODUCHUANGXINQUDONG
1564,002021,HXHBEHHH,华夏回报二号混合,混合型,HUAXIAHUIBAOERHAOHUNHE
1565,002023,HTHTWJHBA,红塔红土稳健回报A,混合型,HONGTAHONGTUWENJIANHUIBAOA
1566,002024,HTHTWJHBC,红塔红土稳健回报C,混合型,HONGTAHONGTUWENJIANHUIBAOC
1567,002025,GFJSHHA,广发聚盛混合A,混合型,GUANGFAJUSHENGHUNHEA
1568,002026,GFJSHHC,广发聚盛混合C,混合型,GUANGFAJUSHENGHUNHEC
1569,002027,ZJXXHHA,中加心享混合A,混合型,ZHONGJIAXINXIANGHUNHEA
1570,002028,JTTBLHPZHHC,九泰天宝灵活配置混合C,混合型,JIUTAITIANBAOLINGHUOPEIZHIHUNHEC
1571,002029,AXDTCLHHC,安信动态策略混合C,混合型,ANXINDONGTAICELUEHUNHEC
1572,002030,XCXXHHB,信诚新选混合B,混合型,XINCHENGXINXUANHUNHEB
1573,002031,HXCLHH,华夏策略混合,混合型,HUAXIACELUEHUNHE
1574,002035,AXPWZZHHFQC,安信平稳增长混合发起C,混合型,ANXINPINGWENZENGZHANGHUNHEFAQIC
1575,002036,AXYSZZHHC,安信优势增长混合C,混合型,ANXINYOUSHIZENGZHANGHUNHEC
1576,002043,TZYJQDHHC,天治研究驱动混合C,混合型,TIANZHIYANJIUQUDONGHUNHEC
1577,002046,XCXRHHB,信诚新锐混合B,混合型,XINCHENGXINRUIHUNHEB
1578,002048,BSAY18GYDKZ,博时安誉18个月定开债,定开债券,BOSHIANYU18GEYUEDINGKAIZHAI
1579,002049,RTXJYLHPZHH,融通新机遇灵活配置混合,混合型,RONGTONGXINJIYULINGHUOPEIZHIHUNHE
1580,002050,RTXJYLHPZHH,融通新机遇灵活配置混合(后端),混合型,RONGTONGXINJIYULINGHUOPEIZHIHUNHE
1581,002051,NACXQDHHC,诺安创新驱动混合C,混合型,NUOANCHUANGXINQUDONGHUNHEC
1582,002052,NAWJHBLHPZHHC,诺安稳健回报灵活配置混合C,混合型,NUOANWENJIANHUIBAOLINGHUOPEIZHIHUNHEC
1583,002053,NAYSHYHHC,诺安优势行业混合C,混合型,NUOANYOUSHIHANGYEHUNHEC
1584,002054,ZYXCFHHA,中银新财富混合A,混合型,ZHONGYINXINCAIFUHUNHEA
1585,002055,GTXYLHPZHHC,国泰兴益灵活配置混合C,混合型,GUOTAIXINGYILINGHUOPEIZHIHUNHEC
1586,002056,ZYXCFHHC,中银新财富混合C,混合型,ZHONGYINXINCAIFUHUNHEC
1587,002057,ZYXJYHHA,中银新机遇混合A,混合型,ZHONGYINXINJIYUHUNHEA
1588,002058,ZYXJYHHC,中银新机遇混合C,混合型,ZHONGYINXINJIYUHUNHEC
1589,002059,GTNYLHPZHHC,国泰浓益灵活配置混合C,混合型,GUOTAINONGYILINGHUOPEIZHIHUNHEC
1590,002060,DFXCLLHPZHHC,东方新策略灵活配置混合C,混合型,DONGFANGXINCELUELINGHUOPEIZHIHUNHEC
1591,002061,GTAKDQZFHHC,国泰安康定期支付混合C,混合型,GUOTAIANKANGDINGQIZHIFUHUNHEC
1592,002062,GTGCQDLHPZHHC,国泰国策驱动灵活配置混合C,混合型,GUOTAIGUOCEQUDONGLINGHUOPEIZHIHUNHEC
1593,002063,GTHS300ZSZQC,国泰沪深300指数增强C,股票指数,GUOTAIHUSHEN300ZHISHUZENGQIANGC
1594,002064,HFCYSJLHPZHH,华富产业升级灵活配置混合,混合型,HUAFUCHANYESHENGJILINGHUOPEIZHIHUNHE
1595,002065,JSCCJSSXSYZQA,景顺长城景盛双息收益债券A,债券型,JINGSHUNCHANGCHENGJINGSHENGSHUANGXISHOUYIZHAIQUANA
1596,002066,JSCCJSSXSYZQC,景顺长城景盛双息收益债券C,债券型,JINGSHUNCHANGCHENGJINGSHENGSHUANGXISHOUYIZHAIQUANC
1597,002067,NAJXHBHH,诺安精选回报混合,混合型,NUOANJINGXUANHUIBAOHUNHE
1598,002068,DFDCLLHPZHHC,东方多策略灵活配置混合C,混合型,DONGFANGDUOCELUELINGHUOPEIZHIHUNHEC
1599,002071,CACYJXHHC,长安产业精选混合C,混合型,CHANGANCHANYEJINGXUANHUNHEC
1600,002072,CAXLYXHHC,长安鑫利优选混合C,混合型,CHANGANXINLIYOUXUANHUNHEC
1601,002073,YXYFXRA,圆信永丰兴融A,债券型,YUANXINYONGFENGXINGRONGA
1602,002074,YXYFXRC,圆信永丰兴融C,债券型,YUANXINYONGFENGXINGRONGC
1603,002075,GDRXHHC,光大睿鑫混合C,混合型,GUANGDARUIXINHUNHEC
1604,002076,ZSZZ500ZSZQA,浙商中证500指数增强A,股票指数,ZHESHANGZHONGZHENG500ZHISHUZENGQIANGA
1605,002077,ZSRTLA,浙商日添利A,货币型,ZHESHANGRITIANLIA
1606,002078,ZSRTLB,浙商日添利B,货币型,ZHESHANGRITIANLIB
1607,002079,QHKYZGXQZCHHC,前海开源中国稀缺资产混合C,混合型,QIANHAIKAIYUANZHONGGUOXIQUEZICHANHUNHEC
1608,002080,QHKYYDYLHHC,前海开源一带一路混合C,混合型,QIANHAIKAIYUANYIDAIYILUHUNHEC
1609,002082,HTBRJLDLHHC,华泰柏瑞激励动力混合C,混合型,HUATAIBAIRUIJILIDONGLIHUNHEC
1610,002083,XHXDLLHPZHHA,新华鑫动力灵活配置混合A,混合型,XINHUAXINDONGLILINGHUOPEIZHIHUNHEA
1611,002084,XHXDLLHPZHHC,新华鑫动力灵活配置混合C,混合型,XINHUAXINDONGLILINGHUOPEIZHIHUNHEC
1612,002085,CSHLWHH,长盛互联网+混合,混合型,CHANGSHENGHULIANWANGHUNHE
1613,002086,DCJADRZQE,大成景安短融债券E,债券型,DACHENGJINGANDUANRONGZHAIQUANE
1614,002087,GFXJYHHA,国富新机遇混合A,混合型,GUOFUXINJIYUHUNHEA
1615,002088,GFXJYHHC,国富新机遇混合C,混合型,GUOFUXINJIYUHUNHEC
1616,002091,HTBRXLHHC,华泰柏瑞新利混合C,混合型,HUATAIBAIRUIXINLIHUNHEC
1617,002095,BSXSYA,博时新收益A,混合型,BOSHIXINSHOUYIA
1618,002096,BSXSYC,博时新收益C,混合型,BOSHIXINSHOUYIC
1619,002101,CJHXZZJXZQA,创金合信转债精选债券A,债券型,CHUANGJINHEXINZHUANZHAIJINGXUANZHAIQUANA
1620,002102,CJHXZZJXZQC,创金合信转债精选债券C,债券型,CHUANGJINHEXINZHUANZHAIJINGXUANZHAIQUANC
1621,002103,ZSKTLHPZHH,招商康泰灵活配置混合,混合型,ZHAOSHANGKANGTAILINGHUOPEIZHIHUNHE
1622,002106,DBFXLHPZHHC,德邦福鑫灵活配置混合C,混合型,DEBANGFUXINLINGHUOPEIZHIHUNHEC
1623,002109,BSYFCZ3GYDKZ,博时裕丰纯债3个月定开债,定开债券,BOSHIYUFENGCHUNZHAI3GEYUEDINGKAIZHAI
1624,002111,HBXQDHH,华宝新起点混合,混合型,HUABAOXINQIDIANHUNHE
1625,002112,DBXXJZLHPZHHC,德邦鑫星价值灵活配置混合C,混合型,DEBANGXINXINGJIAZHILINGHUOPEIZHIHUNHEC
1626,002116,GFAXHHA,广发安享混合A,混合型,GUANGFAANXIANGHUNHEA
1627,002117,GFAXHHC,广发安享混合C,混合型,GUANGFAANXIANGHUNHEC
1628,002118,GFAYHHA,广发安盈混合A,混合型,GUANGFAANYINGHUNHEA
1629,002119,GFAYHHC,广发安盈混合C,混合型,GUANGFAANYINGHUNHEC
1630,002120,GFAYHBHHA,广发安悦回报混合A,混合型,GUANGFAANYUEHUIBAOHUNHEA
1631,002121,GFHGSXQDGPA,广发沪港深新起点股票A,股票型,GUANGFAHUGANGSHENXINQIDIANGUPIAOA
1632,002123,BXRFWYZZ,北信瑞丰外延增长,混合型,BEIXINRUIFENGWAIYANZENGZHANG
1633,002124,GFXXCYHHA,广发新兴产业混合A,混合型,GUANGFAXINXINGCHANYEHUNHEA
1634,002125,GFXXCZHH,广发新兴成长混合,混合型,GUANGFAXINXINGCHENGZHANGHUNHE
1635,002128,GFXHCZDK,广发鑫惠纯债定开,定开债券,GUANGFAXINHUICHUNZHAIDINGKAI
1636,002132,GFXXHH,广发鑫享混合,混合型,GUANGFAXINXIANGHUNHE
1637,002133,GFXYHH,广发鑫益混合,混合型,GUANGFAXINYIHUNHE
1638,002134,GFXYHHA,广发鑫裕混合A,混合型,GUANGFAXINYUHUNHEA
1639,002135,GFXYHHA,广发鑫源混合A,混合型,GUANGFAXINYUANHUNHEA
1640,002136,GFXYHHC,广发鑫源混合C,混合型,GUANGFAXINYUANHUNHEC
1641,002137,NALXLHPZHH,诺安利鑫灵活配置混合,混合型,NUOANLIXINLINGHUOPEIZHIHUNHE
1642,002138,HDYTZQA,泓德裕泰债券A,债券型,HONGDEYUTAIZHAIQUANA
1643,002139,HDYTZQC,泓德裕泰债券C,债券型,HONGDEYUTAIZHAIQUANC
1644,002140,BSYCCZZQ,博时裕诚纯债债券,债券型,BOSHIYUCHENGCHUNZHAIZHAIQUAN
1645,002141,JXXFHBLHPZHHC,建信鑫丰回报灵活配置混合C,混合型,JIANXINXINFENGHUIBAOLINGHUOPEIZHIHUNHEC
